time,steps
1694673225938268200,0
1694673227893125400,1
1694673229808327400,5
1694673231771959600,8
1694673235702428400,17
1694673237616202800,19
1694673239581553700,23
1694673241546025000,27
1694673243510551300,31
1694673245475210200,34
1694673247440461800,37
1694673249354437000,41
1694673251319225000,45
1694673253283776800,51
1694673255248555000,55
1694673257162954200,59
1694673272780092700,69
1694673274744232700,75
1694673276708806000,79
1694673278673822700,80
1694673280588242000,85
1694673282552742400,89
1694673284517494500,93
1694673341141444000,104
1694673343105440000,108
1694673358722398200,119
1694673360687756500,123
1694673362651878700,127
1694673364566193400,131
1694673366530908200,135
1694673368495680500,139
1694673370460705000,143
1694673372374798600,147
1694673374339451400,151
1694673376310538000,155
1694673378268835600,159
1694673380183148300,163
1694673382147701500,167
1694673384112502800,171
1694673386077169400,177
1694673387991487500,181
1694673389956091000,185
1694673391920844000,187
1694673393836630500,191
1694673395800249600,195
1694673397764431600,199
1694673399729399800,203
1694673401694143000,206
1694673403608403000,210
1694673405572993000,213
1694673407537573000,217
1694673409502229000,222
1694673488017587000,232
1694673489982316800,236
1694673491896784000,240
1694673493862018000,244
1694673495830411800,248
1694673497790879000,254
1694673499705353700,258
1694673501669831400,262
1694673503636356000,266
1694673505599436300,270
1694673507513548000,274
1694673509478348300,278
1694673511443113000,282
1694673513408064800,286
1694673515372657700,292
1694673517287603700,296
1694673519251645000,300
1694673521216351200,304
1694673523181062400,308
1694673525095309800,312
1694673527060368600,316
1694673529027155700,320
1694673530989499400,324
1694673532903769900,328
1694673534868429000,332
1694673536836121600,336
1694673538797978000,340
1694673540762891300,344
1694673542677101800,350
1694673544642349000,354
1694673546606463500,358
1694673548571072300,362
1694673573961798700,373
1694673575926224600,376
1694673577841045500,378
1694673579805142300,384
1694673581769840600,388
1694673583734490000,392
1694673585648811300,396
1694673587613610800,400
1694673589578258200,404
1694673591543083800,408
1694673593457292800,412
1694673595424433400,416
1694673597387394600,420
1694673599351372000,426
1694673601316247600,430
1694673603233966800,434
1694673605195434800,438
1694673607160014000,442
1694673609124968400,446
1694673611089590000,450
1694673630585765600,461
1694673632550359000,465
1694673634515207200,469
1694673636480064000,473
1694673638394136300,475
1694673640358879200,478
1694673642323417000,482
