time,z,y,x
1697619937563017700,-28.462501525878903,-38.71875,18.11250114440918
1697619937583022000,-29.83125114440918,-38.73750305175781,18.09375
1697619937603034000,-28.687501907348636,-38.8125,17.90625
1697619937623060700,-28.89375114440918,-38.45625305175781,17.8125
1697619937643089400,-29.212501525878903,-38.28750228881836,17.71875
1697619937663123700,-29.73750114440918,-38.83125305175781,17.587501525878906
1697619937683158500,-29.193750381469727,-38.45625305175781,17.8125
1697619937703173000,-28.575000762939453,-38.98125076293945,18.01875114440918
1697619937723183900,-30.356250762939453,-39.09375,17.775001525878906
1697619937743185000,-29.100000381469727,-38.73750305175781,18.01875114440918
1697619937763190300,-28.256250381469727,-38.71875,18.318750381469727
1697619937783188500,-28.687501907348636,-39.07500076293945,17.793750762939453
1697619937803191800,-30.975000381469727,-38.118751525878906,18.0
1697619937823189200,-28.593751907348636,-39.1875,17.193750381469727
1697619937843181800,-30.76875114440918,-38.83125305175781,17.775001525878906
1697619937863182300,-29.212501525878903,-39.09375,17.681251525878906
1697619937883178500,-28.89375114440918,-38.98125076293945,18.0
1697619937903164000,-28.781251907348636,-39.07500076293945,17.793750762939453
1697619937923166500,-27.337501525878903,-39.50625228881836,18.712501525878903
1697619937943164700,-26.906251907348636,-40.03125,18.806251525878903
1697619937963171000,-25.462501525878903,-40.462501525878906,18.825000762939453
1697619937983171800,-25.443750381469727,-41.0625,19.3125
1697619938003179500,-24.431251525878903,-41.36250305175781,17.793750762939453
1697619938023181800,-24.225000381469727,-41.8125,17.793750762939453
1697619938043178800,-23.100000381469727,-42.712501525878906,17.26875114440918
1697619938063183400,-23.83125114440918,-42.525001525878906,17.36250114440918
1697619938083182800,-22.80000114440918,-42.91875076293945,16.368751525878906
1697619938103170600,-24.150001525878903,-42.82500076293945,16.443750381469727
1697619938123176000,-24.656251907348636,-42.88125228881836,17.45625114440918
1697619938143165000,-24.543750762939453,-42.26250076293945,17.475000381469727
1697619938163163600,-24.95625114440918,-42.431251525878906,17.962501525878906
1697619938183163400,-25.481250762939453,-41.64375305175781,17.568750381469727
1697619938203158500,-25.781251907348636,-41.56875228881836,17.568750381469727
1697619938223174000,-26.625001907348636,-41.400001525878906,17.15625
1697619938243159000,-25.593751907348636,-41.47500228881836,17.26875114440918
1697619938263162400,-25.781251907348636,-41.64375305175781,17.568750381469727
1697619938283172000,-26.306251525878903,-41.306251525878906,17.568750381469727
1697619938303169000,-26.418750762939453,-41.38125228881836,17.568750381469727
1697619938323169300,-27.056251525878903,-41.868751525878906,16.33125114440918
1697619938343165200,-26.231250762939453,-41.88750076293945,15.637500762939451
1697619938363169300,-26.343751907348636,-42.86250305175781,15.412500381469728
1697619938383168800,-25.631250381469727,-43.05000305175781,14.906250953674316
1697619938403175400,-25.443750381469727,-43.14375305175781,14.100000381469728
1697619938423176200,-26.062501907348636,-43.80000305175781,13.36875057220459
1697619938443172400,-26.08125114440918,-43.462501525878906,12.675000190734863
1697619938463177000,-27.037500381469727,-43.743751525878906,11.831250190734863
1697619938483176400,-27.056251525878903,-43.875,10.3125
1697619938503164000,-27.825000762939453,-44.64375305175781,8.362500190734863
1697619938523157500,-27.637500762939453,-45.375,6.937500476837158
1697619938543149000,-26.962501525878903,-46.01250076293945,2.493750095367432
1697619938563161600,-27.01875114440918,-46.368751525878906,-0.4312500059604645
1697619938583167500,-26.55000114440918,-46.78125,-3.562500238418579
1697619938603168000,-27.243751525878903,-46.29375076293945,-8.512500762939453
1697619938623175400,-26.568750381469727,-45.50625228881836,-12.318750381469728
