time,steps
1694888078392218600,0
1694888080346059300,2
1694888082311337000,5
1694888084227868700,7
1694888086191603500,11
1694888088156202500,15
1694888090121201200,18
1694888092086314200,22
1694888094051639600,26
1694888096016517000,30
1694888097981766700,34
1694888099947133200,39
1694888101911696000,44
1694888103830164700,48
1694888105791389700,52
1694888107756573200,55
1694888109721476600,59
1694888111686288400,63
1694888113651535000,66
1694888115616708600,70
1694888117581547800,74
1694888119546721000,77
1694888121511544000,81
1694888123476978700,84
1694888125443007200,87
1694888127406918000,91
1694888129321780000,94
1694888131286609400,98
1694888133251623400,101
1694888135216950000,104
1694888137181950200,107
1694888139146814500,111
1694888141111945700,114
1694888143030732500,117
1694888144991855000,121
1694888146956742000,125
1694888148921826300,128
1694888150886826200,131
1694888152852069000,134
1694888154817032400,138
1694888156782194400,141
1694888158747031800,145
1694888160719073300,148
1694888162677379300,151
1694888164643297300,155
1694888166607417300,158
1694888168572217600,162
1694888170537376000,165
1694888172502571800,169
1694888174417183200,173
1694888176382282000,176
1694888178347198500,180
1694888180312371200,183
1694888182277354800,187
1694888184243617300,190
1694888186207237400,194
1694888188172850200,197
1694888190137707000,202
1694888192102804500,206
1694888194067610600,209
1694888196035427300,212
1694888197997924400,216
1694888199962986000,220
1694888201928129300,223
1694888203893001500,227
1694888205858094800,230
1694888207827539500,234
1694888209788183300,238
1694888211753427000,241
1694888213721142300,245
1694888215683796500,248
1694888217648554800,252
1694888219563439400,255
1694888221528026400,259
1694888223493575400,262
1694888225458486800,266
1694888227425718500,270
1694888229388675600,273
1694888231353697000,277
1694888233318808000,281
1694888235234646000,284
1694888237198444500,287
1694888239163656200,291
1694888241128613000,295
1694888243144600300,298
1694888245058839000,302
1694888247074795500,306
1694888248988789000,309
1694888250954460400,312
1694888252919028000,316
1694888254884171300,320
1694888256849257200,323
1694888258814523000,327
1694888260779604000,330
1694888262744644000,334
1694888264709889300,337
1694888266675259400,341
1694888268640129300,344
1694888270605045000,348
1694888272570335000,351
1694888274535740000,355
1694888276500595000,358
1694888278466088400,362
1694888280380265000,368
1694888282345489700,371
1694888284310621400,375
1694888286275710700,379
1694888288240640500,382
1694888290205693400,385
1694888292170788400,389
1694888294136370700,393
1694888296100874800,396
1694888298066030000,399
1694888300034694000,403
1694888301945993500,406
1694888303910743800,410
1694888305876167200,413
1694888307840992000,417
1694888309806266400,420
1694888311771327700,424
1694888313736498000,427
1694888315701290200,431
1694888317666604000,434
1694888319633822500,438
1694888321597022000,441
1694888323561855700,445
1694888325526902300,448
1694888327491774700,452
1694888329456966700,455
1694888331424283600,458
1694888333387039200,461
1694888335352309500,464
1694888337266827500,468
1694888339235829500,471
1694888341197211000,475
1694888343162088200,478
1694888345127374300,481
1694888347092162300,485
1694888349057327600,488
1694888351023517700,491
1694888352987382800,494
1694888354952784100,497
1694888356917684500,500
1694888358883072800,503
1694888360847716400,507
1694888362813169700,510
1694888364778194400,514
1694888366743865300,518
1694888368657689600,521
1694888370627591000,524
1694888372587724500,528
1694888374553130000,531
1694888376518184400,535
1694888378483323400,538
1694888380448130800,542
1694888382413252600,545
1694888384378291700,549
1694888386344691700,552
1694888388308336400,556
1694888390273617200,559
1694888392238569000,563
1694888394203685400,566
1694888396168802000,569
1694888398134139000,572
1694888400098965800,577
1694888402064070100,580
1694888403978537200,583
1694888405944742000,586
1694888407908780800,590
1694888409874321000,593
1694888411839148300,597
1694888413804164600,600
1694888415769442300,603
1694888417734858000,607
1694888419699481300,610
1694888421664580900,614
1694888423631250000,618
1694888425594855200,621
1694888427559889000,624
1694888429524929300,628
1694888431490089500,631
1694888433455613200,635
1694888435420144000,639
1694888437385111600,642
1694888439350049300,646
1694888441315634700,649
1694888443280270800,652
1694888445245597200,655
1694888447210541000,659
1694888449175905800,662
1694888451140430600,666
1694888453105640700,669
1694888455070835500,673
1694888457036967200,676
1694888459000720600,679
1694888460966081800,682
1694888462930954200,686
1694888464896280600,689
1694888466861336000,692
1694888468830068200,695
1694888470791273000,699
1694888472756720600,702
1694888474771891500,706
1694888476737107000,709
1694888478701889800,712
1694888480667121700,715
1694888482635281700,718
1694888484597381600,722
1694888486562405600,726
1694888488527739100,729
1694888490492625200,733
1694888492457457400,737
1694888494426768600,740
1694888496387721000,743
1694888498352708900,747
1694888500317702400,750
1694888502282955300,753
1694888504247831300,756
1694888506162705000,759
1694888508127751700,763
1694888510092722000,767
1694888512057853700,770
1694888514025904000,774
1694888515988019700,778
1694888517953232400,782
1694888519918243800,786
1694888521835569200,789
1694888523797928700,792
1694888525762974000,796
1694888527728298000,799
1694888529693185300,803
1694888531658113300,807
1694888533572672300,810
1694888535588119800,813
1694888537553428200,816
1694888539467805000,820
1694888541436227800,823
1694888543398351000,827
1694888545363049700,830
1694888547328380000,833
1694888549293140700,837
1694888551258514200,840
1694888553226195500,844
1694888555188614100,847
1694888557153859000,851
1694888559118700000,855
1694888561083496200,858
1694888563048836400,861
1694888565013891300,865
1694888566978937000,868
1694888568944662500,871
1694888570909101300,875
1694888572874553300,878
1694888574839406000,882
1694888576804521000,886
1694888578769351700,889
1694888580735232800,892
1694888582699769900,897
1694888584664717600,901
1694888586634670300,904
1694888588595250700,908
1694888590559941000,911
1694888592524771000,915
1694888594489832400,918
1694888596455403800,921
1694888598419971600,924
1694888600385149000,927
1694888602350049500,931
1694888604315888400,933
1694888606280393700,937
1694888608245523700,941
1694888610210542300,945
1694888612175759400,949
1694888614140786200,952
1694888616105562400,956
1694888618070684700,959
1694888619985524700,962
1694888621950762500,966
1694888623915555800,970
1694888625880426800,972
1694888627845717000,975
1694888629810551000,979
1694888631776500700,982
1694888633740749600,986
1694888635705992000,989
1694888637671057700,993
1694888639636327000,997
1694888641600984000,1000
1694888643566200800,1003
1694888645531380000,1007
1694888647496490500,1010
1694888649461612000,1013
1694888651429541600,1017
1694888653391466200,1020
1694888655306249000,1023
1694888657271096000,1027
1694888659236738000,1030
1694888661201443800,1033
1694888663166800100,1036
1694888665131636200,1040
1694888667096966700,1043
1694888669061634600,1047
1694888671030789000,1050
1694888672991840300,1054
1694888674957215000,1057
1694888676922028300,1061
1694888678887042800,1064
1694888680852319200,1067
1694888682817301000,1071
1694888684782311200,1074
1694888686747361300,1077
1694888688719455000,1081
1694888690677489400,1084
1694888692592072200,1088
1694888694557407200,1091
1694888696522218500,1095
1694888698487352600,1097
1694888700452599800,1100
1694888702417410600,1104
1694888704382466300,1107
1694888706347516200,1110
1694888708312760600,1113
1694888710277908200,1116
1694888712244373000,1119
1694888714207979300,1123
1694888716173866500,1126
1694888718088297200,1130
1694888720052979000,1134
1694888722068610600,1137
1694888724036379600,1141
1694888725948168200,1144
1694888727913145600,1147
1694888729878303700,1150
1694888731844507100,1153
1694888733808605200,1156
1694888735773473300,1160
1694888737738606000,1163
1694888739703853300,1166
1694888741668680700,1170
1694888743636578300,1173
1694888745598887200,1177
1694888747564220000,1180
1694888749528954000,1184
1694888751494049500,1187
1694888753458974000,1191
1694888755428982000,1194
1694888757338735000,1198
1694888759304089000,1201
1694888761268924400,1205
1694888763236635400,1208
1694888765199050000,1212
1694888767164023000,1215
1694888769129011700,1218
1694888771094985700,1221
1694888773059412500,1225
1694888775027187700,1228
1694888776989273600,1233
1694888778954863400,1236
1694888780919350800,1240
1694888782884711000,1243
1694888784849462000,1247
1694888786814809000,1250
1694888788779775200,1253
1694888790744845300,1256
1694888792659568400,1259
1694888794626633000,1263
1694888796589582600,1266
1694888798554528800,1270
1694888800519656000,1273
1694888802484577800,1277
1694888804399452200,1280
1694888806415221000,1284
1694888808379728100,1287
1694888810345147400,1290
1694888812309929700,1294
1694888814275505700,1297
1694888816189822500,1300
1694888818154778400,1304
1694888820120031500,1307
1694888822085069300,1311
1694888824050172000,1314
1694888826015389700,1318
1694888827980377600,1321
1694888829945298200,1325
1694888831910262500,1328
1694888833875863800,1332
1694888835840674000,1335
1694888837805828000,1339
1694888839770710300,1343
1694888841735683300,1347
1694888843700936400,1350
1694888845665708500,1354
1694888847634119200,1357
1694888849595911400,1361
1694888851561208000,1364
1694888853525861600,1368
1694888855491372300,1371
1694888857405765000,1375
1694888859370737400,1378
1694888861335928800,1381
1694888863300796200,1384
1694888865266089500,1387
1694888867234345500,1391
1694888869196298500,1394
1694888871161191400,1398
1694888873126151000,1401
1694888875091358200,1404
1694888877056271000,1408
1694888879023611000,1411
1694888880986674200,1414
1694888882951904300,1418
1694888884866144300,1422
