time,seconds_elapsed,z,y,x
1694728320132100400,0.133100341796875,-27.993751525878906,-13.631250381469727,34.21875
1694728320152104700,0.153104736328125,-29.36250114440918,-13.912500381469727,33.78750228881836
1694728320172116000,0.173115966796875,-29.568750381469727,-14.250000953674316,34.462501525878906
1694728320192140800,0.193140869140625,-29.868751525878906,-14.86875057220459,35.15625
1694728320212173600,0.213173583984375,-28.912500381469727,-15.281250953674316,35.45625305175781
1694728320232208100,0.2332080078125,-28.837501525878906,-16.443750381469727,35.13750076293945
1694728320252239000,0.253239013671875,-28.818750381469727,-16.856250762939453,36.525001525878906
1694728320272268000,0.27326806640625,-29.025001525878906,-17.381250381469727,36.806251525878906
1694728320292283100,0.293283203125,-27.86250114440918,-18.075000762939453,37.61250305175781
1694728320312282000,0.3132822265625,-28.162500381469727,-18.412500381469727,38.118751525878906
1694728320332290800,0.333290771484375,-28.593751907348633,-18.48750114440918,38.400001525878906
1694728320352291000,0.353291015625,-29.118751525878906,-18.76875114440918,38.493751525878906
1694728320372285200,0.37328515625,-30.037500381469727,-19.368751525878906,39.056251525878906
1694728320392267000,0.39326708984375,-29.306251525878906,-18.9375,38.98125076293945
1694728320412247600,0.41324755859375,-30.337501525878906,-19.275001525878906,39.67500305175781
1694728320432239600,0.433239501953125,-30.543750762939453,-18.5625,39.28125
1694728320452241700,0.45324169921875,-32.51250076293945,-18.5625,39.76875305175781
1694728320472246300,0.473246337890625,-31.762500762939453,-17.043750762939453,40.51875305175781
1694728320492246300,0.493246337890625,-31.968751907348633,-16.575000762939453,41.64375305175781
1694728320512242000,0.513241943359375,-32.88750076293945,-16.293750762939453,42.03750228881836
1694728320532246000,0.53324609375,-32.45625305175781,-15.656250953674316,42.35625076293945
1694728320552245200,0.553245361328125,-32.98125076293945,-16.181251525878906,42.54375076293945
1694728320572252000,0.573251953125,-33.09375,-16.481250762939453,41.51250076293945
1694728320592253200,0.593253173828125,-33.84375,-17.8125,41.36250305175781
1694728320612249900,0.613249755859375,-33.01875305175781,-18.356250762939453,40.96875
1694728320632246500,0.63324658203125,-32.8125,-20.137500762939453,40.61250305175781
1694728320652249900,0.653249755859375,-32.92500305175781,-21.11250114440918,40.59375
